MachineName,FolderName,SizeKB,LastWriteTime
ACCOUNTING05,deborah.mays,1082727.7,2026-04-22 16:34:40
ACCOUNTING05,installer,1429863.2,2025-08-07 10:29:21
ACCOUNTING05,Public,0,2025-08-07 10:27:13
